record_id,record_type,target_record_id,recorded_at,measurement_date,period,domain,metric,reported_value,canonical_value,canonical_unit,qualifier,provenance,protocol,source,notes
m-20260830-001,observation,,2026-08-30,,current_baseline,body,height,178 cm,178,cm,exact,reported,TBD,research/evidence.md section 20,Exact measurement date not supplied
m-20260830-002,observation,,2026-08-30,,current_baseline,body,weight,84 kg,84,kg,exact,reported,TBD,research/evidence.md section 20,Exact measurement date not supplied
m-20260830-003,observation,,2026-08-30,,current_baseline,body_composition,body_fat,17.7%,17.7,percent,estimate,reported,Jackson-Pollock 3-site skinfold estimate,research/evidence.md sections 9 and 20,"Sites, operator and exact measurement date not supplied"
m-20260830-004,observation,,2026-08-30,,current_baseline,strength_endurance,push_ups,20,20,repetitions,exact,reported,TBD,research/evidence.md section 20,Exact test standard and date not supplied
m-20260830-005,observation,,2026-08-30,,current_baseline,pulling_strength,strict_pull_ups,7,7,repetitions,exact,reported,TBD,research/evidence.md section 20,Exact test standard and date not supplied
m-20260830-006,observation,,2026-08-30,,current_baseline,grip_endurance,dead_hang,59 s,59,s,exact,reported,TBD,research/evidence.md section 20,Exact test standard and date not supplied
m-20260830-007,observation,,2026-08-30,,current_baseline,static_balance,eyes_closed_single_leg_left,at least 79 s,79,s,at_least,reported,Eyes-closed single-leg balance,research/evidence.md sections 11 and 20,Test stopped voluntarily; other protocol details and exact date not supplied
m-20260830-008,observation,,2026-08-30,,current_baseline,static_balance,eyes_closed_single_leg_right,50 s,50,s,exact,reported,Eyes-closed single-leg balance,research/evidence.md sections 11 and 20,Balance lost; other protocol details and exact date not supplied
m-20260830-009,observation,,2026-08-30,,current_baseline,recovery,sleep_duration,approximately 6 h/night,6,h,approximate,reported,Habitual estimate,research/evidence.md sections 7 and 20,Observation window not supplied
m-20260830-010,observation,,2026-08-30,,historical_reference,gymnastics,crossfit_kipping_muscle_ups,5 consecutive,5,repetitions,exact,reported,TBD,research/evidence.md section 20,Historical date and protocol not supplied
m-20260830-011,observation,,2026-08-30,,historical_reference,strength_endurance,push_ups,33,33,repetitions,exact,reported,TBD,research/evidence.md section 20,Historical date and protocol not supplied
m-20260830-012,observation,,2026-08-30,,historical_reference,running,run_5km_time,20:00,1200,s,exact,derived,TBD,research/evidence.md section 20,Canonical seconds derived from the reported 20:00; historical date and protocol not supplied
m-20260830-013,observation,,2026-08-30,,historical_reference,rowing,row_2000m_time,7:30,450,s,exact,derived,2000 m row,research/evidence.md sections 12 and 20,Canonical seconds derived from the reported 7:30; historical date and protocol not supplied
m-20260830-014,observation,,2026-08-30,,historical_reference,strength,deadlift,180 kg,180,kg,exact,reported,TBD,research/evidence.md section 20,Historical date and protocol not supplied
